"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[]","Reporting Range=[Weekly]","Viewing=[5/16/21 - 5/22/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler",248,"B0000DH4LT","Coleman Performance Cooler, 48-Quart - Blue","9.97%","15.32%","B08CVQ14LS","GARDRIT 60 Can Large Cooler Bag - Collapsible Insulated Lunch Box, Leakproof Cooler Bag Suitable for Camping, Picnic& Beach (39L/Grey)","4.97%","6.92%","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","4.92%","6.77%"
"Amazon.com","igloo cooler","1,851","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","25.29%","25.98%","B089NJB3NY","Igloo Playmate","6.62%","8.08%","B08W3RKRKV","Igloo Polar Cooler Family","5.67%","6.55%"
"Amazon.com","cooler with wheels","2,009","B019N9WQAK","Coleman 62-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Blue/White","18.41%","32.73%","B00BYDG3BM","Coleman Portable Cooler with Wheels | Xtreme Wheeled Cooler, 50-Quart","6.51%","6.95%","B07TXZSB9X","Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Black","6.41%","6.31%"
"Amazon.com","cooler bag","2,580","B0788GKSZ9","Lifewit Large Lunch Bag 24-Can (15L) Insulated Lunch Box Soft Cooler Cooling Tote for Adult Men Women, Grey","10.62%","17.26%","B07R5QN3B3","Jumbo Insulated Cooler Bag (Gray) with HD Thermal Foam Insulation. Premium Quality Soft Sided Cooler Makes a Perfect Insulated Grocery Bag, Food Delivery Bag, Travel Cooler, or Picnic Cooler.","8.08%","7.36%","B08CVQ14LS","GARDRIT 60 Can Large Cooler Bag - Collapsible Insulated Lunch Box, Leakproof Cooler Bag Suitable for Camping, Picnic& Beach (39L/Grey)","6.46%","7.23%"
"Amazon.com","yeti cooler","2,871","B07SD8NNG4","YETI Hopper Flip 8 Portable Cooler, Charcoal","19.96%","18.95%","B0842BSGXS","YETI Roadie 24 Cooler, White","10.46%","9.15%","B001COUOYK","YETI Tundra 45 Cooler Desert Tan","8.57%","10.13%"
"Amazon.com","backpack cooler","2,903","B07BVKY49D","TOURIT Cooler Backpack 30 Cans Lightweight Insulated Backpack Cooler Leak-Proof","19.20%","23.61%","B07BVKY2F8","TOURIT Cooler Backpack 30 Cans Lightweight Insulated Backpack Cooler Leak-Proof","11.25%","16.71%","B00J0S019S","Coleman Soft Cooler Backpack | 28-Can Leak-Proof Cooler | Great for Picnics, BBQs, Camping, Tailgating & Outdoor Activities","5.68%","4.50%"
"Amazon.com","cooler backpack","3,335","B07BVKY2F8","TOURIT Cooler Backpack 30 Cans Lightweight Insulated Backpack Cooler Leak-Proof","25.46%","34.94%","B07BVKY49D","TOURIT Cooler Backpack 30 Cans Lightweight Insulated Backpack Cooler Leak-Proof","6.45%","9.08%","B07RX6H4J8","SEEHONOR Insulated Cooler Backpack Leakproof Soft Cooler Bag Lightweight Backpack Cooler for Lunch Picnic Fishing Hiking Camping Park Beach, 25 Cans","3.89%","4.81%"
"Amazon.com","cpu cooler","5,326","B07H22TC1N","Cooler Master Hyper 212 RGB Black Edition CPU Air Cooler, SF120R RGB Fan, 4 CD 2.0 Heatpipes, Anodized Gun-Metal Black, Brushed Nickel Fins, RGB Lighting for AMD Ryzen/Intel LGA1151","10.14%","10.17%","B086BYYFG5","Cooler Master MasterLiquid ML240L RGB V2, Close-Loop AIO CPU Liquid Cooler, 240 Radiator, Dual SickleFlow 120mm, RGB Lighting, 3rd Gen Dual Chamber Pump for AMD Ryzen/Intel LGA1151","10.09%","5.42%","B07H25DYM3","Cooler Master Hyper 212 Black Edition CPU Air Coolor, Silencio FP120 Fan, 4 CDC 2.0 Heatpipes, Anodized Gun-Metal Black, Brushed Nickel Fins for AMD Ryzen/Intel LGA1200/1151","9.42%","13.90%"
"Amazon.com","water cooler","6,440","B01AKTFK6Y","Avalon Bottom Loading Water Cooler Water Dispenser with BioGuard- 3 Temperature Settings - Hot, Cold & Room Water, Durable Stainless Steel Construction, Anti-Microbial Coating- UL/Energy Star Approved","18.64%","18.46%","B07P6FS6HW","Brio Self Cleaning Bottom Loading Water Cooler Water Dispenser – Limited Edition - 3 Temperature Settings - Hot, Cold & Cool Water - UL/Energy Star Approved","9.09%","14.23%","B07T6C64BX","Brio Bottom Loading Water Cooler Water Dispenser – Essential Series - 3 Temperature Settings - Hot, Cold & Cool Water - UL/Energy Star Approved","8.71%","8.85%"
"Amazon.com","wine cooler","6,578","B0864S2FPR","Ivation 12 Bottle Compressor Wine Cooler Refrigerator w/Lock | Large Freestanding Wine Cellar For Red, White, Champagne or Sparkling Wine | 41f-64f Digital Temperature Control Fridge Glass Door Black","22.52%","22.99%","B08SHYNFLR","WIE 28 Bottle Wine Cooler Refrigerator Compressor Wine Fridge for Home Freestanding Wine Cellars White Red Digital Control Auto-Defrost Double-layer Glass Door 41°F-64°F Cooling Wine Refrigerator","9.88%","0.00%","B00QSJRR4Y","Koolatron WC20 Thermoelectric Wine Cooler 20 Bottle Capacity with Digital Temperature Controls-Vibration-free and Quiet Cooling Power, 5 Removable Shelves, Black","7.64%","8.05%"
"Amazon.com","air cooler","6,860","B08Y8C1BZN","TaoTronics Evaporative Air Cooler, 3-in-1 45 Air Cooler, Tower Fan and Humidifier, 80° Oscillating Cooling Fan with 4 Speeds, 3 Modes, 6L Water Tank, Remote Control, for Bedroom, Living Room, Office","11.74%","10.81%","B08YP45JBY","Briza - Air Cooler - Evaporative Air Cooler - Evaporative Cooler - Swamp Cooler - Air Cooler Fan - 8 Liter Water Tank - 80° Swing Oscillation - 3 in 1 - Remote Included - 3 Speed Fan","9.76%","5.41%","B08NPGDL5G","TaoTronics 3-in-1 Evaporative Air Cooler,1.8 Gal Removable Water Tank 43 Tower Fan with Cooling and Humidification Function, 60°Oscillation,3 Modes,Auto Display Off,10H Timer for Home, Living Room","8.64%","5.86%"
"Amazon.com","small cooler","7,145","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","27.74%","31.03%","B000G62SJE","Coleman Excursion Portable Cooler, 9 Quart , Blue","11.63%","10.99%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","11.60%","16.16%"
"Amazon.com","soft cooler","8,249","B07KC1R73B","Lifewit Collapsible Cooler Bag 32-Can Insulated Leakproof Soft Cooler Portable Double Decker Cooler Tote for Trip/Picnic/Sports/Flight, Grey","10.02%","15.43%","B07VKBK9Z9","YETI Hopper M30 Portable Soft Cooler, Navy","9.30%","2.47%","B07H49BT3H","Arctic Zone Titan Deep Freeze 30 Can Zipperless HardBody Cooler, Moss (1718IL918763)","9.19%","6.17%"
"Amazon.com","evaporative air cooler","8,375","B078HFGJ3T","Hessaire MC18M Portable Evaporative Cooler – Gray, 1300 CFM, Cools 500 Square Feet","13.79%","11.92%","B08YP45JBY","Briza - Air Cooler - Evaporative Air Cooler - Evaporative Cooler - Swamp Cooler - Air Cooler Fan - 8 Liter Water Tank - 80° Swing Oscillation - 3 in 1 - Remote Included - 3 Speed Fan","10.01%","7.62%","B08Y8C1BZN","TaoTronics Evaporative Air Cooler, 3-in-1 45 Air Cooler, Tower Fan and Humidifier, 80° Oscillating Cooling Fan with 4 Speeds, 3 Modes, 6L Water Tank, Remote Control, for Bedroom, Living Room, Office","9.91%","13.91%"
"Amazon.com","rtic cooler","9,297","B08X978KZH","RTIC Hard Cooler, Ice Chest with Heavy Duty Rubber Latches, 3 Inch Insulated Walls","24.09%","14.53%","B07577JLZC","RTIC Soft Cooler 30, Grey, Insulated Bag, Leak Proof Zipper, Keeps Ice Cold for Days","16.17%","32.48%","B07577JLZ8","RTIC Soft Cooler 20, Grey, Insulated Bag, Leak Proof Zipper, Keeps Ice Cold for Days","13.72%","8.55%"
