"Department=[Amazon.com]","Search Term=[cooler]","Enter ASINs or Products=[igloo]","Reporting Range=[Weekly]","Viewing=[5/23/21 - 5/29/21]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.com","cooler",169,"B0000DH4LT","Coleman Performance Cooler, 48-Quart - Blue","9.09%","10.49%","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","7.43%","10.49%","B08B6GD13W","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Sandstone and Red","5.32%","4.40%"
"Amazon.com","igloo cooler","1,365","B077Y5W8YV","Igloo BMX 52 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 16.34 Pounds - Carbonite Gray and Blue","24.85%","24.40%","B078WH1S6H","Igloo Trailmate Journey 70 Qt Cooler, Canyon Brown/Riverbed Tan (00034298)","5.60%","2.22%","B092RJ735C","Igloo The Boss","5.35%","6.65%"
"Amazon.com","cooler with wheels","1,873","B019N9WQAK","Coleman 62-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Blue/White","10.93%","16.17%","B07TXZSB9X","Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Black","9.49%","11.23%","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","5.98%","11.08%"
"Amazon.com","small cooler","5,664","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","32.57%","37.37%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","8.84%","12.31%","B08B6GPZFX","Igloo BMX 25 Quart Cooler with Cool Riser Technology, Fish Ruler, and Tie-Down Points - 11.29 Pounds - Aquamarine and Gray","6.33%","1.91%"
"Amazon.com","ice pack for cooler","10,895","B0773FVRZY","Cooler Shock Reusable Ice Packs (Set of 4) - Long Lasting Cold Freezer Packs for Large Coolers & Lunch Bags - Compress for Knee Injuries, Back Pain Relief, Post-Surgery Accessories","15.65%","15.96%","B01M06AQLF","Ice Pack for Lunch Box - Freezer Packs - Original Cool Pack | Slim & Long-Lasting Ice Packs for your Lunch or Cooler Bag (Set of 4)","15.62%","19.18%","B08G2TY698","Igloo Maxcold Ice Block","7.29%","6.69%"
"Amazon.com","igloo cooler with wheels","12,683","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","19.59%","45.45%","B078WH1S6H","Igloo Trailmate Journey 70 Qt Cooler, Canyon Brown/Riverbed Tan (00034298)","14.19%","11.11%","B08RLVKB7H","Igloo MaxCold 90qt Wheeled Roller, ash Gray","9.16%","7.07%"
"Amazon.com","rolling cooler","13,347","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","10.83%","15.33%","B07GDXXWK3","dbest products Ultra Compact Cooler Smart Cart, Moroccan Tile Insulated Collapsible Rolling Tailgate BBQ Beach Summer","10.33%","19.71%","B07TXZSB9X","Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Black","9.20%","5.11%"
"Amazon.com","cooler with wheels and handle","14,814","B002VQ9PU2","Igloo Ice Cube 60 Quart Roller Cooler , Ocean Blue","9.69%","12.20%","B01LZ88201","Coleman Xtreme 50-Quart Wheeled Cooler (Dark Blue)","7.12%","8.54%","B07TXZSB9X","Coleman 50-Quart Xtreme 5-Day Heavy-Duty Cooler with Wheels, Black","6.67%","7.32%"
"Amazon.com","mini cooler","22,163","B000W4RV6K","Coleman FlipLid Cooler, 5 Quart , Red","36.56%","46.21%","B07QGV6X3B","Leakproof Reusable Insulated Cooler Lunch Bag - Office Work Picnic Hiking Beach Lunch Box Organizer with Adjustable Shoulder Strap for Women,Men-Grey","8.00%","11.36%","B000R1PE30","Igloo Mini Playmate Cooler , Red/White, 4 Qt","6.92%","3.79%"
"Amazon.com","large cooler","25,975","B08W3RKRKV","Igloo Polar Cooler Family","28.81%","29.41%","B004QILD6W","Igloo Polar 120 Qt. Cooler","14.34%","17.65%","B00AU6GB2K","Coleman Xtreme 5 Cooler | 70 Quart Day Cooler | Hard Cooler Keeps Ice Up to 5 Days, Black","6.16%","9.80%"
